Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
205.2,383.84,4811.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Demo Project,Asia Pacific (Singapore),R53,Amazon Route 53,0,0.9,10.80,USD,"Additional Records in Hosted Zones (), Hosted Zones (1), Basic Checks Within AWS (1)"
My Demo Project,Asia Pacific (Singapore),API GW,Amazon API Gateway,0,24.69,296.28,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (0.5), WebSocket message units (thousands), Average message size (32 KB), Requests (1 per month)"
My Demo Project,Asia Pacific (Singapore),,AWS Lambda,0,74.87,898.44,USD,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Amount of ephemeral storage allocated (512 MB), Number of requests (1000000 per month), Concurrency (1000), Time for which Provisioned Concurrency is enabled (8 hours), Number of requests for Provisioned Concurrency (1000 per month)"
My Demo Project,Asia Pacific (Singapore),,DynamoDB provisioned capacity,205.2,172.33,2273.16,USD,"Table class (Standard), Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (500 GB)"
My Demo Project,Asia Pacific (Singapore),,S3 Standard,0,2.53,30.36,USD,S3 Standard storage (100 GB per month)
My Demo Project,Asia Pacific (Singapore),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Demo Project,Asia Pacific (Singapore),,Amazon CloudFront,0,108.52,1302.24,USD,"Data transfer out to internet (1 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (1000000 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
